Date,Time,Open,High,Low,Close,Volume
2017.02.03,0:00,1.0757,1.07973,1.07106,1.07789,138674
2017.02.06,0:00,1.07848,1.07906,1.07053,1.07488,128063
2017.02.07,0:00,1.07392,1.07492,1.06558,1.0682,129261
2017.02.08,0:00,1.06795,1.07138,1.06402,1.06969,128190
2017.02.09,0:00,1.06971,1.07092,1.06505,1.06541,122349
2017.02.10,0:00,1.06552,1.06674,1.06072,1.06377,126661
2017.02.13,0:00,1.06276,1.06581,1.05917,1.05972,111127
2017.02.14,0:00,1.05948,1.06331,1.05607,1.05764,122185
2017.02.15,0:00,1.05738,1.0609,1.0521,1.05991,129675
2017.02.16,0:00,1.0598,1.0679,1.05906,1.06727,129195
2017.02.17,0:00,1.06725,1.06762,1.06051,1.06056,117800
2017.02.20,0:00,1.06069,1.06326,1.06029,1.06103,94720
2017.02.21,0:00,1.06099,1.06149,1.05255,1.05349,114604
2017.02.22,0:00,1.05345,1.05737,1.04933,1.05573,130425
2017.02.23,0:00,1.05526,1.05949,1.05373,1.05804,114691
2017.02.24,0:00,1.05778,1.06176,1.05513,1.05513,114938
2017.02.27,0:00,1.05622,1.06304,1.05511,1.05851,111992
2017.02.28,0:00,1.05851,1.06298,1.0568,1.05757,119666
2017.03.01,0:00,1.05731,1.0589,1.05138,1.05459,145664
2017.03.02,0:00,1.05457,1.05512,1.04946,1.05059,119698
2017.03.03,0:00,1.05058,1.06236,1.05015,1.06166,132864
2017.03.06,0:00,1.06033,1.06397,1.05745,1.05803,110010
2017.03.07,0:00,1.05806,1.06022,1.0558,1.05655,101937
2017.03.08,0:00,1.05635,1.05738,1.05345,1.05392,114255
2017.03.09,0:00,1.05392,1.06151,1.05247,1.05756,140192
2017.03.10,0:00,1.05737,1.06988,1.05721,1.06712,133842
2017.03.13,0:00,1.06832,1.07141,1.06519,1.06535,124379
2017.03.14,0:00,1.06533,1.06624,1.05995,1.06077,114241
2017.03.15,0:00,1.06077,1.07397,1.06042,1.0736,130003
2017.03.16,0:00,1.07359,1.07738,1.07053,1.07715,139451
2017.03.17,0:00,1.07715,1.07821,1.07272,1.07362,114148
2017.03.20,0:00,1.07384,1.0777,1.07249,1.07363,96968
2017.03.21,0:00,1.07363,1.0819,1.07189,1.0806,129910
2017.03.22,0:00,1.08061,1.08245,1.07755,1.07919,127101
2017.03.23,0:00,1.07919,1.08047,1.07677,1.07822,119654
2017.03.24,0:00,1.07821,1.08178,1.076,1.07957,110917
2017.03.27,0:00,1.08316,1.09057,1.08266,1.08638,115039
2017.03.28,0:00,1.08637,1.08723,1.07985,1.08123,101653
2017.03.29,0:00,1.08117,1.08263,1.07396,1.0764,110749
2017.03.30,0:00,1.07647,1.07695,1.06717,1.0674,109928
2017.03.31,0:00,1.06742,1.07017,1.06462,1.06462,111324
2017.04.03,0:00,1.06591,1.06807,1.06421,1.06683,95885
2017.04.04,0:00,1.0669,1.0677,1.06354,1.0672,90310
2017.04.05,0:00,1.0671,1.06887,1.06345,1.06624,101702
2017.04.06,0:00,1.06611,1.06838,1.06287,1.06434,102911
2017.04.07,0:00,1.06425,1.06664,1.05804,1.05884,121088
2017.04.10,0:00,1.0586,1.06063,1.05695,1.05947,85336
2017.04.11,0:00,1.05935,1.06299,1.05783,1.06037,91833
2017.04.12,0:00,1.06034,1.06749,1.05886,1.06633,97739
